Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1928,Manchester,,,Division 1,42,16,7,19,72,80,39,18,22,18,R6,,,,,,,,1,6–1,6,1,1,,,1,0-2,0,2,,,1,2,1,0,1,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,6,3
1929,Manchester,,,Division 1,42,14,13,15,66,76,41,12,22,12,R4,,,,,,,,1,2–2,2,2,,1,,1,3-2,3,2,1,,,2,1,1,0,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,5,4
1930,Manchester,,,Division 1,42,15,8,19,67,88,38,17,22,17,R3,,,,,,,,1,1–2,1,2,,,1,1,0-1,0,1,,,1,2,0,0,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,3
1931,Manchester,,Y,Division 1,42,7,8,27,53,115,22,22,22,22,R4,,,,,,,,1,4–1,4,1,1,,,1,1–1,1,1,,1,,2,1,1,0,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,5,2
1932,Manchester,,,Division 2,42,17,8,17,71,72,42,12,22,34,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Manchester,,,Division 2,42,15,13,14,71,68,43,6,22,28,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Manchester,,,Division 2,42,14,6,22,59,85,34,20,22,42,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Manchester,,,Division 2,42,23,4,15,76,55,50,5,22,27,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Manchester,Y,,Division 2,42,22,12,8,85,43,56,1,22,23,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Manchester,,Y,Division 1,42,10,12,20,55,78,32,21,22,21,R4,,,,,,,,1,2–5,2,5,,,1,1,0-2,0,2,,,1,2,0,0,2,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,7
1938,Manchester,Y,,Division 2,42,22,9,11,82,50,53,2,22,24,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,Manchester,,,Division 1,42,11,16,15,57,65,38,14,22,14,R3,,,,,,,,1,2–0,2,0,1,,,1,0-1,0,1,,,1,2,1,0,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,1
1947,Manchester,,,Division 1,42,22,12,8,95,54,56,2,22,2,R4,,,,,,,,1,5–0,5,0,1,,,1,0-1,0,1,,,1,2,1,0,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,5,1
