Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1955,Liverpool,,,Division 2,42,16,10,16,92,96,42,11,22,33,R5,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,Liverpool,,,Division 2,42,21,6,15,85,63,48,3,22,25,R5,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,Liverpool,,,Division 2,42,21,11,10,82,54,53,3,22,25,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Liverpool,,,Division 2,42,22,10,10,79,54,54,4,22,26,QF,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Liverpool,,,Division 2,42,24,5,13,87,62,53,4,22,26,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Liverpool,,,Division 2,42,20,10,12,90,66,50,3,22,25,R4,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,1,1-3,1,3,,,1,,,,,,,,,,,,,,,1,,,1,1,3,1,0,0,1,1,3
1961,Liverpool,,,Division 2,42,21,10,11,87,58,52,3,22,25,R4,R3,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,Liverpool,Y,,Division 2,42,27,8,7,99,43,62,1,22,23,R5,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,Liverpool,,,Division 1,42,17,10,15,71,59,44,8,22,8,SF,—,—,—,—,—,—,—,1,1–0,1,0,1,,,1,3–3,3,3,,1,,2,1,1,0,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,3
1964,Liverpool,,,Division 1,42,26,5,11,92,45,57,1,22,1,QF,—,—,—,—,—,—,—,1,3–0,3,0,1,,,1,1-0,1,0,1,,,2,2,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,4,0
1965,Liverpool,,,Division 1,42,17,10,15,67,73,44,7,22,7,W,—,W,SF,—,—,—,—,1,0–2,0,2,,,1,1,0-3,0,3,,,1,2,0,0,2,0,5,0,,,,,,,,1,2-2,2,2,,1,,,,,,,,,1,,1,,2,2,3,0,1,2,2,7
1966,Liverpool,,,Division 1,42,26,9,7,79,34,61,1,22,1,R3,—,W,—,—,RU,—,—,1,2–1,2,1,1,,,1,0-2,0,2,,,1,2,1,0,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,3
1967,Liverpool,,,Division 1,42,19,13,10,64,47,51,5,22,5,R5,—,W,R2,—,—,—,—,1,0–0,0,0,,1,,1,2–2,2,2,,1,,2,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,2
1968,Liverpool,,,Division 1,42,22,11,9,71,40,55,3,22,3,QF,R2,—,—,R3,—,—,—,1,1–2,1,2,,,1,1,2-1,2,1,1,,,2,1,0,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,3
1969,Liverpool,,,Division 1,42,25,11,6,63,24,61,2,22,2,R5,R4,—,—,R1,—,—,—,1,2–0,2,0,1,,,1,0-1,0,1,,,1,2,1,0,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,1
1970,Liverpool,,,Division 1,42,20,11,11,65,42,51,5,22,5,QF,R3,—,—,R2,—,—,—,1,1–4,1,4,,,1,1,0-1,0,1,,,1,2,0,0,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,5
1971,Liverpool,,,Division 1,42,17,17,8,42,24,51,5,22,5,RU,R3,—,—,SF,—,—,—,1,1–1,1,1,,1,,1,2-0,2,0,1,,,2,1,1,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,3,1
1972,Liverpool,,,Division 1,42,24,9,9,64,30,57,3,22,3,R4,R4,—,—,—,R2,—,—,1,2–2,2,2,,1,,1,3-0,3,0,1,,,2,1,1,0,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,5,2
1973,Liverpool,,,Division 1,42,25,10,7,72,42,60,1,22,1,R4,R5,—,—,W,—,—,—,1,2–0,2,0,1,,,1,0-2,0,2,,,1,2,1,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1974,Liverpool,,,Division 1,42,22,13,7,52,31,57,2,22,2,W,R5,—,R2,—,—,—,—,1,2–0,2,0,1,,,1,0–0,0,0,,1,,2,1,1,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,2,0
1975,Liverpool,,,Division 1,42,20,11,11,60,39,51,2,22,2,R4,R4,W,—,—,R2,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Liverpool,,,Division 1,42,23,14,5,66,31,60,1,22,1,R4,R3,—,—,W,—,—,—,1,3–1,3,1,1,,,1,0–0,0,0,,1,,2,1,1,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,3,1
1977,Liverpool,,,Division 1,42,23,11,8,62,33,57,1,22,1,RU,R2,W,W,—,—,—,—,1,1–0,1,0,1,,,1,0–0,0,0,,1,,2,1,1,0,1,0,3,,,,,,,,,,,,,,,1,1-2,1,2,,1,,1,,,1,1,2,3,1,1,1,2,2
1978,Liverpool,,,Division 1,42,24,9,9,65,34,57,2,22,2,R3,RU,W,W,—,—,W,—,1,3–1,3,1,1,,,1,0-2,0,2,,,1,2,1,0,1,3,3,2,,,,,,,,,,,,,,,1,0-0,0,0,,,1,1,,1,,0,0,3,1,1,1,3,3
1979,Liverpool,,,Division 1,42,30,8,4,85,16,68,1,22,1,SF,R2,—,R1,—,—,RU,—,1,2–0,2,0,1,,,1,3-0,3,0,1,,,2,2,0,0,5,0,4,,,,,,,,,,,,,,,2,"2-2, 0-1",2,3,,1,1,2,,1,1,2,3,4,2,1,1,7,3
1980,Liverpool,,,Division 1,42,25,10,7,81,30,60,1,22,1,SF,SF,W,R1,—,—,—,—,1,2–0,2,0,1,,,1,1-2,1,2,,,1,2,1,0,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,2
1981,Liverpool,,,Division 1,42,17,17,8,62,42,51,5,22,5,R4,W,W,W,—,—,—,—,1,0–1,0,1,,,1,1,0–0,0,0,,1,,2,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,1
1982,Liverpool,,,Division 1,42,26,9,7,80,32,87,1,22,1,R5,W,—,QF,—,—,—,RU,1,1–2,1,2,,,1,1,1-0,1,0,1,,,2,1,0,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1983,Liverpool,,,Division 1,42,24,10,8,87,37,82,1,22,1,R5,W,W,QF,—,—,—,—,1,0–0,0,0,,1,,1,1–1,1,1,,1,,2,0,2,0,1,1,2,,,,,,,,,,,,,,,1,2-1,2,1,1,,,1,1,,,2,1,3,1,2,0,3,2
